pi,year,doi,title,title_clean
Justin R Pierce,2010,10.1007/s10955-011-0409-2,"Spectra of random Hermitian matrices with a small-rank external source:
  supercritical and subcritical regimes","spectra of random hermitian matrices with a small-rank external source:
  supercritical and subcritical regimes"
Justin R Pierce,2015,10.2139/ssrn.2704966,Offshoring and Skill-Upgrading in French Manufacturing: A Heckscher-Ohlin-Melitz View,offshoring and skill-upgrading in french manufacturing: a heckscher-ohlin-melitz view
Justin R Pierce,2021,10.17863/cam.79218,Serial monitoring of genomic alterations in circulating tumor cells of ER-positive/HER2-negative advanced breast cancer: feasibility of precision oncology biomarker detection.,serial monitoring of genomic alterations in circulating tumor cells of er-positive/her2-negative advanced breast cancer: feasibility of precision oncology biomarker detection.
Justin R Pierce,2014,10.1016/j.neuropharm.2014.05.033,Locomotor conditioning by amphetamine requires cyclin-dependent kinase 5 signaling in the nucleus accumbens,locomotor conditioning by amphetamine requires cyclin-dependent kinase 5 signaling in the nucleus accumbens
Justin R Pierce,2018,10.1038/s41586-018-0022-5,Vms1 and ANKZF1 peptidyl-tRNA hydrolases release nascent chains from stalled ribosomes,vms1 and ankzf1 peptidyl-trna hydrolases release nascent chains from stalled ribosomes
Justin R Pierce,2012,10.1371/journal.pcbi.1002500,A Spatial Model of Mosquito Host-Seeking Behavior,a spatial model of mosquito host-seeking behavior
Justin R Pierce,2021,10.1053/j.gastro.2021.10.005,"An Antigenically Diverse, Representative Panel of Envelope Glycoproteins for Hepatitis C Virus Vaccine Development","an antigenically diverse, representative panel of envelope glycoproteins for hepatitis c virus vaccine development"
Justin R Pierce,2008,10.1371/journal.pgen.1000183,A Catalog of Neutral and Deleterious Polymorphism in Yeast,a catalog of neutral and deleterious polymorphism in yeast
Justin R Pierce,2007,10.1371/journal.pone.0000153,"Pre-Bilaterian Origins of the Hox Cluster and the Hox Code: Evidence from the Sea Anemone, Nematostella vectensis","pre-bilaterian origins of the hox cluster and the hox code: evidence from the sea anemone, nematostella vectensis"
Justin R Pierce,2018,10.1128/msystems.00031-18,American Gut: an Open Platform for Citizen Science Microbiome Research,american gut: an open platform for citizen science microbiome research
Justin R Pierce,2011,10.2139/ssrn.1861346,AGOA Rules: The Intended and Unintended Consequences of Special Fabric Provisions,agoa rules: the intended and unintended consequences of special fabric provisions
Justin R Pierce,2025,10.1177/01492063251315701,Women’s and Men’s Authorship Experiences: A Prospective Meta-Analysis,women’s and men’s authorship experiences: a prospective meta-analysis
Justin R Pierce,2017,10.1016/j.vaccine.2017.08.037,Influenza epidemiology and immunization during pregnancy: Final report of a World Health Organization working group,influenza epidemiology and immunization during pregnancy: final report of a world health organization working group
Justin R Pierce,2023,10.1128/spectrum.02351-23,"Eravacycline, the First Four Years: Health Outcomes and Tolerability Data for 19 Hospitals in 5 U.S. Regions From 2018 to 2022","eravacycline, the first four years: health outcomes and tolerability data for 19 hospitals in 5 u.s. regions from 2018 to 2022"
Tyler J Ludwig,2011,10.1155/2011/971968,Parasite Mitogen-Activated Protein Kinases as Drug Discovery Targets to Treat Human Protozoan Pathogens,parasite mitogen-activated protein kinases as drug discovery targets to treat human protozoan pathogens
Tyler J Ludwig,2022,10.1016/j.adro.2022.100948,Clinical outcomes of patients with unresectable primary liver cancer treated with yttrium-90 radioembolization with an escalated dose,clinical outcomes of patients with unresectable primary liver cancer treated with yttrium-90 radioembolization with an escalated dose
Tyler J Ludwig,2013,10.3109/09273972.2013.811601,Accommodation and vergence response gains to different near cues characterize specific esotropias,accommodation and vergence response gains to different near cues characterize specific esotropias
Tyler J Ludwig,2014,10.3389/fneng.2014.00015,Organic electrode coatings for next-generation neural interfaces,organic electrode coatings for next-generation neural interfaces
Tyler J Ludwig,2009,10.1371/journal.ppat.1000583,Population Genetic Analysis Infers Migration Pathways of Phytophthora ramorum in US Nurseries,population genetic analysis infers migration pathways of phytophthora ramorum in us nurseries
Tyler J Ludwig,2020,10.34657/17595,SciPy 1.0: fundamental algorithms for scientific computing in Python,scipy 1.0: fundamental algorithms for scientific computing in python
Tyler J Ludwig,2012,10.1016/j.cmet.2012.01.017,Fumarate is cardioprotective via activation of the Nrf2 antioxidant pathway,fumarate is cardioprotective via activation of the nrf2 antioxidant pathway
Tyler J Ludwig,2021,10.1016/s0140-6736(21)01910-3,Second asymptomatic carotid surgery trial (ACST-2): a randomised comparison of carotid artery stenting versus carotid endarterectomy,second asymptomatic carotid surgery trial (acst-2): a randomised comparison of carotid artery stenting versus carotid endarterectomy
Tyler J Ludwig,2024,10.1016/s2213-8587(23)00322-4,Impact of primary kidney disease on the effects of empagliflozin in patients with chronic kidney disease: secondary analyses of the EMPA-KIDNEY trial,impact of primary kidney disease on the effects of empagliflozin in patients with chronic kidney disease: secondary analyses of the empa-kidney trial
Tyler J Ludwig,2021,10.5445/ir/1000138642,"Towards Equitable, Diverse, and Inclusive science collaborations: The Multimessenger Diversity Network","towards equitable, diverse, and inclusive science collaborations: the multimessenger diversity network"
Tyler J Ludwig,2021,10.5445/ir/1000138562,Testing the AGN Radio and Neutrino correlation using the MOJAVE catalog and 10 years of IceCube Data,testing the agn radio and neutrino correlation using the mojave catalog and 10 years of icecube data
Tyler J Ludwig,2022,10.5445/ir/1000146599,Non-standard neutrino interactions in IceCube,non-standard neutrino interactions in icecube
Tyler J Ludwig,2021,10.5445/ir/1000138560,Gravitational Wave Follow-Up Using Low Energy Neutrinos in IceCube DeepCore,gravitational wave follow-up using low energy neutrinos in icecube deepcore
Tyler J Ludwig,2021,10.5445/ir/1000138495,Hybrid cosmic ray measurements using the IceAct telescopes in coincidence with the IceCube and IceTop detectors,hybrid cosmic ray measurements using the iceact telescopes in coincidence with the icecube and icetop detectors
Tyler J Ludwig,2021,10.5445/ir/1000138591,Searching for High-Energy Neutrinos from Core-Collapse Supernovae with IceCube,searching for high-energy neutrinos from core-collapse supernovae with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138589,Analysis framework for multi-messenger astronomy with IceCube,analysis framework for multi-messenger astronomy with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138514,Cosmic-Ray Studies with the Surface Instrumentation of IceCube,cosmic-ray studies with the surface instrumentation of icecube
Tyler J Ludwig,2021,10.5445/ir/1000138503,First air-shower measurements with the prototype station of the IceCube surface enhancement,first air-shower measurements with the prototype station of the icecube surface enhancement
Tyler J Ludwig,2021,10.5445/ir/1000138596,A novel microstructure based model to explain the IceCube ice anisotropy,a novel microstructure based model to explain the icecube ice anisotropy
Tyler J Ludwig,2021,10.5445/ir/1000138586,End-to-End Tests of the Sensitivity of IceCube to the Neutrino Burst from a Core-Collapse Supernova,end-to-end tests of the sensitivity of icecube to the neutrino burst from a core-collapse supernova
Tyler J Ludwig,2021,10.5445/ir/1000138622,Seasonal Variations of the Unfolded Atmospheric Neutrino Spectrum with IceCube,seasonal variations of the unfolded atmospheric neutrino spectrum with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138625,Recent Progress in Solar Atmospheric Neutrino Searches with IceCube,recent progress in solar atmospheric neutrino searches with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138616,Search for high-energy neutrino emission from hard X-ray AGN with IceCube,search for high-energy neutrino emission from hard x-ray agn with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138598,"Every Flare, Everywhere: An All-Sky Untriggered Search for Astrophysical Neutrino Transients Using IceCube Data","every flare, everywhere: an all-sky untriggered search for astrophysical neutrino transients using icecube data"
Tyler J Ludwig,2021,10.5445/ir/1000138595,Searches for Neutrinos from Precursors and Afterglows of Gamma-Ray Bursts using the IceCube Neutrino Observatory,searches for neutrinos from precursors and afterglows of gamma-ray bursts using the icecube neutrino observatory
Tyler J Ludwig,2021,10.5445/ir/1000138613,A New Search for Neutrino Point Sources with IceCube,a new search for neutrino point sources with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138608,Measuring total neutrino cross section with IceCube at intermediate energies (~100 GeV to a few TeV),measuring total neutrino cross section with icecube at intermediate energies (~100 gev to a few tev)
Tyler J Ludwig,2021,10.5445/ir/1000138640,"Neutrino Education, Outreach, and Communications Activities: Captivating Examples from IceCube","neutrino education, outreach, and communications activities: captivating examples from icecube"
Tyler J Ludwig,2021,10.5445/ir/1000138565,Realtime follow-up of astrophysical transients with the IceCube Neutrino Observatory,realtime follow-up of astrophysical transients with the icecube neutrino observatory
Tyler J Ludwig,2021,10.5445/ir/1000138577,Direction Reconstruction using a CNN for GeV-Scale Neutrinos in IceCube,direction reconstruction using a cnn for gev-scale neutrinos in icecube
Tyler J Ludwig,2021,10.5445/ir/1000138572,A calibration study of local ice and optical sensor properties in IceCube,a calibration study of local ice and optical sensor properties in icecube
Tyler J Ludwig,2021,10.5445/ir/1000138612,Characterization of the PeV astrophysical neutrino energy spectrum with IceCube using down-going tracks,characterization of the pev astrophysical neutrino energy spectrum with icecube using down-going tracks
Tyler J Ludwig,2021,10.5445/ir/1000138576,Reconstruction of Neutrino Events in IceCube using Graph Neural Networks,reconstruction of neutrino events in icecube using graph neural networks
Tyler J Ludwig,2021,10.5445/ir/1000138593,Stau Search in IceCube,stau search in icecube
Tyler J Ludwig,2021,10.5445/ir/1000138610,Searching for High Energy Neutrinos from Magnetars with IceCube,searching for high energy neutrinos from magnetars with icecube
Tyler J Ludwig,2021,10.5445/ir/1000138575,Performance studies for a next-generation optical sensor for IceCube-Gen2,performance studies for a next-generation optical sensor for icecube-gen2
Tyler J Ludwig,2021,10.5445/ir/1000138620,A Search for Neutrino Sources with Cascade Events in IceCube,a search for neutrino sources with cascade events in icecube
